time_ns,input_v,native_kd_hold_start_ns,native_kd_hold_end_ns,in_native_kd_hold_region,hspice_native_ibis__kd,ngspice_legacy__kd,ngspice_value_match_v2__kd,ngspice_two_state_identity__kd,ngspice_two_state_pwl__kd,ngspice_two_state_directional__kd,ngspice_two_state_directional_residual__kd,ngspice_two_state_directional_residual_recover_mean__kd
4.014500000000004,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.015500000000005,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.016500000000005,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.017500000000005,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.018500000000006,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.019500000000006,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.020500000000006,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.021500000000007,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.022500000000007,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.023500000000007,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.024500000000008,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.025500000000008,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.026500000000008,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.027500000000009,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.028500000000009,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.029500000000009,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.03050000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.03150000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.03250000000001,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.033500000000011,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
4.034500000000011,0.0,6.0005,8.057456796447054,0.0,1.0,1.0,1.0,0.9986107960546058,0.9986107960502535,0.9986107960502535,0.9986107960502535,0.9986107960502535
