channel_id,source,path,relative_path,bytes,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1
short_10ps_dc_50g_961b749c,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_50g.s1p,348,1,unsupported_v1,1,6,0.0,50000000000.0,50;50;50;50;50;50,False
ntwk_9ba2e533,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk.s32p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk.s32p,132124,32,unsupported_v1,32,3,0.0,40000000.0,50;50;50;50;50;50;50;50...,False
ntwk1_f450e450,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,15729,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk2_e1c16499,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,15729,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk3_ad74ab42,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,15729,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk4_806cfc7d,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,36351,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True
ntwk4_n_6d3c414e,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4_n.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,36520,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True
ntwk_arbitrary_frequency_3e8760a8,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_arbitrary_frequency.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,850,2,ok,2,4,1.0,20.0,50;50;50;50;50;50;50;50,True
ntwk_noise_65eeb4e4,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,1174,2,ok,2,11,1000000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True
ntwk_noise_interp_a132609e,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk_noise_interp.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,1320,2,ok,2,13,100000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk1_e20029da,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,15633,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk2_24638a5f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,15633,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
ntwk3_8f8a2430,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwks\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,15633,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True
PowerSI_example_8f3cd70a,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\PowerSI_example.S8P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/PowerSI_example.S8P,764646,8,unsupported_v1,8,300,10000000.0,3000000000.0,50;50;50;50;50;50;50;50...,False
RS_ZNB8_23e14c3f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZNB8.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,858823,4,ok,4,1001,40000000.0,60000000.0,50;50;50;50;50;50;50;50...,True
RS_ZVR_1.20_beta_f_6cd9e598,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\RS_ZVR_1.20_beta_f.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,771,2,ok,2,1,1000.0,1000.0,50;50,True
thru_a0b4754f,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\thru.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/thru.s2p,235,2,ok,2,4,1000000000.0,100000000000.0,50;50;50;50;50;50;50;50,True
tmp_skrf_oneport_powerwave_16f8e44d,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\tmp_skrf_oneport_powerwave.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/tmp_skrf_oneport_powerwave.s1p,559,1,unsupported_v1,1,2,29500000000.0,37000000000.0,30-10j;20+10j,False
Clarity_example_4669a7eb,repo_local,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Clarity_example.S2P,hspice/sparam/Clarity_example.S2P,6728,2,ok,2,40,50000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True
