case_id,event_index,input_direction,input_50_ns,window_start_ns,window_end_ns,pad_hspice_50_ns,pad_ngspice_50_ns,pad_ng_minus_h_ps,pad_hspice_peak_v,pad_ngspice_peak_v,pad_peak_delta_v,coefficient,coefficient_direction,hspice_10pct_ns,ngspice_10pct_ns,ng_minus_h_10pct_ps,hspice_50pct_ns,ngspice_50pct_ns,ng_minus_h_50pct_ps,hspice_90pct_ns,ngspice_90pct_ns,ng_minus_h_90pct_ps,hspice_min,hspice_max,ngspice_min,ngspice_max,peak_delta,active_coeff_abs_error_mean,active_coeff_abs_error_max
edge_500ps_50r_2pf,2,fall,15.25,14.5,18.5,16.406366381984252,16.229857265600995,-176.50911638325795,0.0008454447,0.0020749705001138186,0.0012295258001138185,ku,fall,16.4419579503536,16.264007158114048,-177.95079223955312,16.21184212382211,16.037869012947535,-173.97311087457368,15.979670084793309,15.799350822427813,-180.31926236549543,-0.0206747,1.012812,-0.01711811634370874,1.0124991688749378,0.0035565836562912595,0.06479240961248295,0.40955568241633106
edge_500ps_50r_2pf,2,fall,15.25,14.5,18.5,16.406366381984252,16.229857265600995,-176.50911638325795,0.0008454447,0.0020749705001138186,0.0012295258001138185,kd,rise,17.998230596006568,17.816151539812033,-182.07905619453513,18.169024438046257,17.990285342217668,-178.7390958285897,18.36549931334397,18.192879619732917,-172.619693611054,-0.0726777,0.9625442,-0.07222712255870488,0.9901484782254509,0.027604278225450973,0.08477851868896487,0.4470651578598325
edge_2ns_50r_2pf,1,rise,6.0,4.5,10.0,7.8201317044174266,8.191038175173519,370.9064707560925,1.496835,1.4610631420873315,-0.03577185791266846,kd,fall,7.386382887927759,7.757040805358035,370.6579174302762,7.112805883987691,7.478628812097324,365.82292810963327,6.968432891654788,7.330179108127986,361.7462164731977,0.002600238,1.005536,0.004282589279283864,1.004571123535269,0.0016823512792838642,0.1307854229222172,0.7794751698475593
edge_2ns_50r_2pf,1,rise,6.0,4.5,10.0,7.8201317044174266,8.191038175173519,370.9064707560925,1.496835,1.4610631420873315,-0.03577185791266846,ku,rise,7.167017715960157,7.5432445537573125,376.22683779715516,7.762812986837027,8.135059681079632,372.24669424260526,9.102617835501263,9.51825721288482,415.63937738355605,-0.0215385,0.9652787,-0.02120163859584378,0.9377969015963594,-0.027481798403640623,0.08339792806182175,0.33153021884328526
edge_2ns_50r_2pf,2,fall,16.0,14.5,20.0,17.815328571383453,17.09366666385833,-721.6619075251244,0.0007827026,0.0004046345948916758,-0.0003780680051083242,ku,fall,17.846414423061784,17.129722021719502,-716.6924013422822,17.621522831525255,16.90013689033373,-721.3859411915245,17.388745802643957,16.65673815879246,-732.0076438514959,-0.0202565,1.013611,-0.01162897967780651,1.010761266486438,0.00862752032219349,0.20063535937391597,0.9558969077498474
edge_2ns_50r_2pf,2,fall,16.0,14.5,20.0,17.815328571383453,17.09366666385833,-721.6619075251244,0.0007827026,0.0004046345948916758,-0.0003780680051083242,kd,rise,19.406342875318064,18.674225465111657,-732.1174102064062,19.576943530871837,18.85842039626315,-718.523134608688,19.774672443281357,19.054877232811638,-719.7952104697194,-0.07221463,0.9817103,-0.07266674455138117,1.0044567320143767,0.02274643201437665,0.21692192787624723,1.0048687279907116
short_pulse_2ns_high,1,rise,5.000500000000001,4.5,8.001000000000001,7.095763880970887,7.016744746786705,-79.0191341841826,0.8250917,1.5213845112415332,0.6962928112415332,kd,fall,6.90372122179646,6.908738719006938,5.017497210477728,6.628175186465182,6.632759524653568,4.584338188386106,6.482755727827892,6.489964031456022,7.208303628130075,-0.07198926,1.005403,-0.07240746584312961,1.006158578486266,-0.0004182058431296126,0.018557549072018877,0.07788579060892534
short_pulse_2ns_high,1,rise,5.000500000000001,4.5,8.001000000000001,7.095763880970887,7.016744746786705,-79.0191341841826,0.8250917,1.5213845112415332,0.6962928112415332,ku,rise,6.681843803596472,6.6893816859903685,7.537882393896744,7.277954659400172,7.000525924123118,-277.42873527705393,nan,7.0009051848246235,nan,-0.02295883,0.5431727,-0.02221839669661043,1.012537321335477,0.46936462133547696,0.2185195637406947,0.7207869
short_pulse_2ns_high,2,fall,7.000500000000001,6.5,10.001000000000001,7.699644278743612,8.093529218653758,393.88493991014604,0.000688455,0.0020718304983772216,0.0013833754983772215,ku,fall,7.618895265731872,7.977813169534778,358.91790380290536,7.390625904522114,7.752293658958547,361.6677544364331,nan,7.5188806188437916,nan,-0.01643844,0.5431727,-0.017118116343557206,1.012537321335477,-0.0006796763435572076,0.19341569372475995,0.7207869
short_pulse_2ns_high,2,fall,7.000500000000001,6.5,10.001000000000001,7.699644278743612,8.093529218653758,393.88493991014604,0.000688455,0.0020718304983772216,0.0013833754983772215,kd,rise,9.172154929859449,9.529691716498066,357.536786638617,9.346933380842684,9.707368492598267,360.4351117555833,9.544401901205578,9.901747688088818,357.34578688323995,-0.07198926,0.9944961,-0.07240746584312961,0.9498424858642116,-0.04465361413578839,0.13328363123225642,0.7982299065828886
