case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,82,01->01,356.100426438288,2281.877455319144,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,83,10->10,358.10045104626784,3622.6144002742944,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,84,01->01,360.1004129007419,2289.8628427978138,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,85,10->11,362.1004504801755,3616.2774049562045,1028.8185188798934
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,86,11->00,366.10042525254187,2362.185562336347,212.6527889123637
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,87,00->10,376.1004527175012,3660.7807500249023,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,88,01->01,378.1004219123096,2283.568981924655,nan
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,89,10->11,380.10045095340644,3620.7899766946653,1008.4961065047887
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,fall,90,11->00,388.1004229996408,2366.950276152634,204.445394699029
ui2_len30cm_loss1,xyce_refspice,Xyce,io_buf.sp,rise,91,00->11,394.1004532294923,3665.768172343868,972.7858495831839
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,0,11->01,26.100426000353117,2380.6821764627357,210.71821109726704
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,1,10->11,28.10044608452068,3599.6960965039175,1012.7647728822882
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,2,11->00,38.10042601705048,2380.6299245818286,210.7578646354033
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,3,00->11,42.10044820821472,3678.6873776084185,962.6924254804993
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,4,11->01,50.10042602334351,2380.293317122825,211.08586739155453
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,5,10->10,52.100446092866235,3599.7312683764762,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,6,01->01,54.10042465440389,2290.6588458907504,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,7,10->11,56.100446184471984,3636.031765593436,1013.7079951605612
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,8,11->00,62.10042597505213,2376.636816828254,211.9858748611037
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,9,00->11,70.10044848559812,3681.5519716985336,967.4499068757312
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,10,11->01,74.10042580235452,2365.3018100840086,215.2373821366163
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,11,10->11,76.10044618266208,3604.324168066763,1013.1516886922765
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,12,11->01,82.10042590142163,2376.7732101175266,211.61201849676195
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,13,10->10,84.10044616194405,3600.443936623991,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,14,01->00,86.1004246673572,2290.718964731709,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,15,00->11,90.10044826785233,3682.140519669005,964.59347530358
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,16,11->00,94.10042586600755,2365.1420603375127,214.91765138590802
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,17,00->10,100.1004480121185,3681.413172920672,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,18,01->01,102.10042462087257,2279.5515596576342,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,19,10->10,104.10044642763168,3639.4472825183275,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,20,01->01,106.10042465594859,2286.4661930164098,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,21,10->11,108.10044605260381,3638.146334574556,1015.980756565667
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,22,11->00,112.10042590474905,2366.312629238558,215.8701655153052
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,23,00->10,122.10044767353754,3681.1036420866767,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,fall,24,01->01,124.10042460044494,2279.5572329742936,nan
ui2_len30cm_loss5,ngspice_refspice,ngspice,io_buf.sp,rise,25,10->11,126.10044638584532,3638.405460361754,1006.840836797989
