
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace01_37                      2.08985e-06
ch_trace01_38_rl                   2.08984e-06
ch_trace01_38                      2.08984e-06
ch_trace01_39_rl                   2.08983e-06
ch_trace01_39                      2.08983e-06
ch_trace01_40_rl                   2.08981e-06
ch_trace01_40                      2.08981e-06
ch_trace01_41_rl                    2.0898e-06
ch_trace01_41                       2.0898e-06
ch_trace01_42_rl                   2.08979e-06
ch_trace01_42                      2.08979e-06
ch_trace01_43_rl                   2.08978e-06
ch_trace01_43                      2.08978e-06
ch_trace01_44_rl                   2.08977e-06
ch_trace01_44                      2.08977e-06
ch_trace01_45_rl                   2.08976e-06
ch_trace01_45                      2.08976e-06
ch_trace01_46_rl                   2.08975e-06
ch_trace01_46                      2.08975e-06
ch_trace01_47_rl                   2.08974e-06
ch_trace01_47                      2.08974e-06
ch_trace01_48_rl                   2.08973e-06
ch_trace01_48                      2.08973e-06
ch_trace01_49_rl                   2.08972e-06
ch_trace01_49                      2.08972e-06
ch_trace01_50_rl                   2.08971e-06
ch_trace01_50                      2.08971e-06
ch_trace01_51_rl                   2.08969e-06
ch_trace01_51                      2.08969e-06
ch_trace01_52_rl                   2.08968e-06
ch_trace01_52                      2.08968e-06
ch_trace01_53_rl                   2.08967e-06
ch_trace01_53                      2.08967e-06
ch_trace01_54_rl                   2.08966e-06
ch_trace01_54                      2.08966e-06
ch_trace01_55_rl                   2.08965e-06
ch_trace01_55                      2.08965e-06
ch_trace01_56_rl                   2.08964e-06
ch_trace01_56                      2.08964e-06
ch_trace01_57_rl                   2.08963e-06
ch_trace01_57                      2.08963e-06
ch_trace01_58_rl                   2.08962e-06
ch_trace01_58                      2.08962e-06
ch_trace01_59_rl                   2.08961e-06
ch_trace01_59                      2.08961e-06
ch_trace01_60_rl                    2.0896e-06
ch_trace01_60                       2.0896e-06
ch_trace01_61_rl                   2.08959e-06
ch_trace01_61                      2.08959e-06
ch_trace01_62_rl                   2.08957e-06
ch_trace01_62                      2.08957e-06
ch_trace01_63_rl                   2.08956e-06
ch_trace01_63                      2.08956e-06
ch_trace01_64_rl                   2.08955e-06
ch_trace01_64                      2.08955e-06
ch_trace01_65_rl                   2.08954e-06
ch_trace01_65                      2.08954e-06
ch_trace01_66_rl                   2.08953e-06
ch_trace01_66                      2.08953e-06
ch_trace01_67_rl                   2.08952e-06
ch_trace01_67                      2.08952e-06
ch_trace01_68_rl                   2.08951e-06
ch_trace01_68                      2.08951e-06
ch_trace01_69_rl                    2.0895e-06
ch_trace01_69                       2.0895e-06
ch_trace01_70_rl                   2.08949e-06
ch_trace01_70                      2.08949e-06
ch_trace01_71_rl                   2.08948e-06
ch_trace01_71                      2.08948e-06
ch_trace01_72_rl                   2.08947e-06
ch_trace01_72                      2.08947e-06
ch_trace01_73_rl                   2.08945e-06
ch_trace01_73                      2.08945e-06
