channel_id,source,source_family,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group,validation_split,error
LFCN-2352__Plus25degC_d04142bc,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\LFCN-2352+_Plus25degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,269138,ec8fa0e552894a3924fb79f056f989facfb72f5dc91601340e92b48e614ccaff,2,ok,2,2006,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,-0.007829413000000153,-2.364895000000002,1,,calibration,
short_10ps_10g_40g_65ed3613,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_40g.s1p,300,6e0c0972f4c340469492066f12addf7199a6eac1f21b41d6e1fcc2b2a8e18592,1,unsupported_v1,1,4,10000000000.0,40000000000.0,50;50;50;50,False,,,,,1.928654933106574e-15,1,,calibration,
short_10ps_10g_50g_3b6f6380,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_10g_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_10g_50g.s1p,336,24045454ad0fbad9fabc6c9ddf6321c577ef2168c426952c3ba5c0bda360d2d8,1,unsupported_v1,1,5,10000000000.0,50000000000.0,50;50;50;50;50,False,,,,,1.928654933106574e-15,1,,calibration,
short_10ps_dc_40g_6b7a1061,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_40g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_40g.s1p,313,2a56b1f4f65d7bcd2a907fd26525209b1fd13f28ee20f36c7b76de1392218a7c,1,unsupported_v1,1,5,0.0,40000000000.0,50;50;50;50;50,False,,,,,1.928654933106574e-15,1,,holdout,
short_10ps_dc_50g_961b749c,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\metas_tdr\short_10ps_dc_50g.s1p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/metas_tdr/short_10ps_dc_50g.s1p,348,5c2079603a1bc420e1e6041e31c1393d4926f09c24fc6a3e58e18f86f1a58e1d,1,unsupported_v1,1,6,0.0,50000000000.0,50;50;50;50;50;50,False,,,,,1.928654933106574e-15,1,,calibration,
ntwk_9ba2e533,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk.s32p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk.s32p,132124,da8a3954b7595f335d6cf3fd197c3135a0bae006349f716e61c4081368f5fda5,32,unsupported_v1,32,3,0.0,40000000.0,50;50;50;50;50;50;50;50...,False,S622,6,22,-0.0005092597877169871,-32.60739129205685,1,,calibration,
ntwk1_f450e450,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,15729,f3f97ca0311e2fe42681367a32d809bf6cf98a80fc294012253e5a92e19e3e29,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.5168994500992495,-1.5439350755393266,1,,calibration,
ntwk2_e1c16499,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,15729,b397b1feab68a0a899b58bfbcdbaa9970bccee6ad1e578cd7e19716a5674d014,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.4262984826709254,-11.983177274248833,1,,calibration,
ntwk3_ad74ab42,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,15729,a81b135b2a96c1ff708ac701d3c96b9452c584a5b84ef799c0c84046272edd87,2,ok,2,91,1000000000.0,10000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.9613313855320177,-1.5034186172598254,1,,calibration,
ntwk4_806cfc7d,skrf_tests,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\ntwk4.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,36351,9ed0c339f8793d28975dd13823581fa165dca1607937453fb0a61897866311ca,2,ok,2,301,70000000000.0,85000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-2.2729098223189648,-2.358398807529904,1,,calibration,
