time_ns,v_typ,v_min,v_max
1.3994,1.413166667,1.394166667,1.384666667
1.4054,1.415666667,1.398333333,1.3865
1.4114,1.418,1.402333333,1.388333333
1.4174,1.420333333,1.406666667,1.390166667
1.4234,1.423,1.410666667,1.391833333
1.4294,1.4265,1.416,1.393666667
1.4354,1.429833333,1.425,1.3955
1.4414,1.433166667,1.434333333,1.397333333
1.4474,1.4365,1.443666667,1.399
1.4535,1.44,1.453,1.400333333
1.4595,1.4435,1.462333333,1.401333333
1.4655,1.4475,1.471666667,1.4025
1.4715,1.4555,1.481,1.403666667
1.4775,1.464,1.4905,1.404833333
1.4835,1.4725,1.5055,1.405833333
1.4895,1.481,1.523666667,1.407166667
1.4955,1.4895,1.5425,1.408833333
1.5015,1.497833333,1.560666667,1.4115
1.5075,1.508166667,1.5795,1.414166667
1.5135,1.522333333,1.597666667,1.417
1.5195,1.536833333,1.6165,1.419833333
1.5255,1.551166667,1.634833333,1.4225
1.5315,1.565666667,1.659,1.425333333
1.5375,1.58,1.685333333,1.429166667
1.5435,1.594333333,1.711666667,1.4355
1.5495,1.610833333,1.738,1.4415
1.5556,1.632833333,1.764333333,1.447666667
1.5616,1.655166667,1.790833333,1.4545
1.5676,1.6775,1.817,1.460666667
1.5736,1.699833333,1.843833333,1.469666667
1.5796,1.722166667,1.8735,1.4805
1.5856,1.7465,1.9035,1.491166667
1.5916,1.774333333,1.932833333,1.501666667
1.5976,1.802,1.9625,1.5125
1.6036,1.829666667,1.9925,1.523
1.6096,1.8575,2.0225,1.533666667
1.6156,1.885333333,2.0515,1.544833333
1.6216,1.913333333,2.0815,1.561833333
1.6276,1.9425,2.111333333,1.580833333
1.6336,1.972333333,2.1395,1.599666667
1.6396,2.0015,2.1665,1.6185
1.6456,2.0315,2.194,1.6375
1.6517,2.0615,2.221166667,1.6565
1.6577,2.0915,2.2485,1.678166667
1.6637,2.1215,2.275666667,1.705666667
1.6697,2.1515,2.303,1.733666667
1.6757,2.1815,2.327833333,1.761333333
