case,xyce_ref_rc,xyce_ref_timed_out,xyce_ref_wall_s,xyce_pybis_rc,xyce_pybis_timed_out,xyce_pybis_wall_s,xyce_ref_output,xyce_pybis_output,pre_high,low_gap,post_high,length_cm,loss_scale,n_sections,target_rise_ns,target_fall_ns,py_rise_max_v,py_rise_max_ns,ref_rise_max_v,ref_rise_max_ns,rise_maxabs_py_minus_ref_v,rise_maxabs_py_minus_ref_abs_v,rise_maxabs_ns,py_tx_rise_max_v,ref_tx_rise_max_v,py_fall_min_v,ref_fall_min_v,fall_maxabs_py_minus_ref_v,fall_maxabs_py_minus_ref_abs_v,fall_maxabs_ns
hist_h1_g3_p3_30cm_loss5,0,False,0.14133787155151367,0,False,2.9859366416931152,True,True,1,3,3,30,5.0,10,16.1,22.1,0.0382205938,16.87,0.0142071554,16.45,0.07376663569999936,0.07376663569999936,16.899999999999586,0.0509467741,0.672304969,1.3368357,1.39411034,-0.06877560999999899,0.06877560999999899,22.1
hist_h1_g3_p4_30cm_loss5,0,False,0.14452648162841797,0,False,3.365325689315796,True,True,1,3,4,30,5.0,10,16.1,24.100000000000005,0.0382205938,16.87,0.0142071554,16.45,0.07376663569999936,0.07376663569999936,16.899999999999586,0.0509467741,0.672304969,1.38339599,1.42194761,-0.061150539999998754,0.061150539999998754,24.85999999999961
hist_h1_g4_p1_30cm_loss5,0,False,0.13790440559387207,0,False,2.7931461334228516,True,True,1,4,1,30,5.0,10,18.100000000000005,20.1,0.0436233356,18.31,0.0102407579,18.810000000000002,0.06268339199999744,0.06268339199999744,18.329999999999885,0.0511151406,0.762942369,-0.0113155353,-0.0140072988,-0.2722036487394164,0.2722036487394164,21.497999999999273
hist_h1_g4_p2_30cm_loss5,0,False,0.13991355895996094,0,False,3.0323147773742676,True,True,1,4,2,30,5.0,10,18.100000000000005,22.1,0.0436233356,18.31,0.0102407579,18.810000000000002,0.06268339199999744,0.06268339199999744,18.329999999999885,0.0511151406,0.762942369,0.286725991,1.01990847,-0.7346755509999994,0.7346755509999994,22.1
hist_h1_g4_p3_30cm_loss5,0,False,0.14437127113342285,0,False,3.661280393600464,True,True,1,4,3,30,5.0,10,18.100000000000005,24.100000000000005,0.0436233356,18.31,0.0102407579,18.810000000000002,0.06268339199999744,0.06268339199999744,18.329999999999885,0.0511151406,0.762942369,1.34659755,1.40078373,-0.060873179999999305,0.060873179999999305,24.100000000000005
hist_h1_g4_p4_30cm_loss5,0,False,0.18531584739685059,0,False,3.6893231868743896,True,True,1,4,4,30,5.0,10,18.100000000000005,26.1,0.0436233356,18.31,0.0102407579,18.810000000000002,0.06268339199999744,0.06268339199999744,18.329999999999885,0.0511151406,0.762942369,1.38364652,1.4179367,-0.05693308999999713,0.05693308999999713,26.82999999999962
hist_h2_g1_p1_30cm_loss5,0,False,0.13466906547546387,0,False,2.2829465866088867,True,True,2,1,1,30,5.0,10,14.1,16.1,1.43173619,14.42,1.29043827,14.1,1.2409955423999586,1.2409955423999586,14.840000000000227,0.0572120282,0.855238471,-0.0395644489,-0.0367169453,-0.33235967657915266,0.33235967657915266,17.497999999999273
hist_h2_g1_p2_30cm_loss5,0,False,0.1373918056488037,0,False,2.5117855072021484,True,True,2,1,2,30,5.0,10,14.1,18.100000000000005,1.43173619,14.42,1.29043827,14.1,1.2409955423999586,1.2409955423999586,14.840000000000227,0.0572120282,0.855238471,0.319350624,1.02647853,-0.7150676299999975,0.7150676299999975,18.100000000000005
hist_h2_g1_p3_30cm_loss5,0,False,0.13920998573303223,0,False,2.8848214149475098,True,True,2,1,3,30,5.0,10,14.1,20.1,1.43173619,14.42,1.29043827,14.1,1.2409955423999586,1.2409955423999586,14.840000000000227,0.0572120282,0.855238471,1.31857444,1.40296432,-0.08820605000000015,0.08820605000000015,20.1
hist_h2_g1_p4_30cm_loss5,0,False,0.1690971851348877,0,False,3.3981499671936035,True,True,2,1,4,30,5.0,10,14.1,22.1,1.43173619,14.42,1.29043827,14.1,1.2409955423999586,1.2409955423999586,14.840000000000227,0.0572120282,0.855238471,1.37605171,1.41947683,-0.06990680999999666,0.06990680999999666,22.839999999999616
hist_h2_g2_p1_30cm_loss5,0,False,0.15005016326904297,0,False,2.558035135269165,True,True,2,2,1,30,5.0,10,16.1,18.100000000000005,0.105551451,16.11,0.0941934787,16.26,0.11617008249999991,0.11617008249999991,16.809999999999633,0.099720871,0.566693459,-0.0366267234,-0.0305146845,-0.2688823460778433,0.2688823460778433,19.497999999999276
hist_h2_g2_p2_30cm_loss5,0,False,0.13948392868041992,0,False,2.7898812294006348,True,True,2,2,2,30,5.0,10,16.1,20.1,0.105551451,16.11,0.0941934787,16.26,0.11617008249999991,0.11617008249999991,16.809999999999633,0.099720871,0.566693459,0.273084483,1.0317364,-0.758651917,0.758651917,20.1
hist_h2_g2_p3_30cm_loss5,0,False,0.1448960304260254,0,False,2.978909492492676,True,True,2,2,3,30,5.0,10,16.1,22.1,0.105551451,16.11,0.0941934787,16.26,0.11617008249999991,0.11617008249999991,16.809999999999633,0.099720871,0.566693459,1.33316922,1.39317041,-0.08960480999999931,0.08960480999999931,22.1
hist_h2_g2_p4_30cm_loss5,0,False,0.15166187286376953,0,False,3.2707414627075195,True,True,2,2,4,30,5.0,10,16.1,24.100000000000005,0.105551451,16.11,0.0941934787,16.26,0.11617008249999991,0.11617008249999991,16.809999999999633,0.099720871,0.566693459,1.38577027,1.41710826,-0.05696710999999999,0.05696710999999999,24.729999999999677
hist_h2_g3_p1_30cm_loss5,0,False,0.13790440559387207,0,False,2.794473886489868,True,True,2,3,1,30,5.0,10,18.100000000000005,20.1,0.0208556261,18.130000000000003,5.64543e-05,18.52,0.05366368159999585,0.05366368159999585,18.90999999999958,0.065855634,0.663615953,-0.0151692187,-0.0194837545,-0.23368949773943892,0.23368949773943892,21.497999999999273
hist_h2_g3_p2_30cm_loss5,0,False,0.1430981159210205,0,False,2.9951674938201904,True,True,2,3,2,30,5.0,10,18.100000000000005,22.1,0.0208556261,18.130000000000003,5.64543e-05,18.52,0.05366368159999585,0.05366368159999585,18.90999999999958,0.065855634,0.663615953,0.280002704,1.03883753,-0.7630477509999987,0.7630477509999987,22.1
hist_h2_g3_p3_30cm_loss5,0,False,0.14565324783325195,0,False,3.2753212451934814,True,True,2,3,3,30,5.0,10,18.100000000000005,24.100000000000005,0.0208556261,18.130000000000003,5.64543e-05,18.52,0.05366368159999585,0.05366368159999585,18.90999999999958,0.065855634,0.663615953,1.34375145,1.39320493,-0.058676009999999224,0.058676009999999224,24.100000000000005
hist_h2_g3_p4_30cm_loss5,0,False,0.1500413417816162,0,False,3.597527503967285,True,True,2,3,4,30,5.0,10,18.100000000000005,26.1,0.0208556261,18.130000000000003,5.64543e-05,18.52,0.05366368159999585,0.05366368159999585,18.90999999999958,0.065855634,0.663615953,1.38202365,1.42360068,-0.0638238199999952,0.0638238199999952,26.839999999999616
