channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,original_f_min_hz,original_f_max_hz,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,reduced_baseline_candidate,reduced_baseline_rx_ready_status,reduced_baseline_rx_voltage_shape_class,reduced_baseline_rx_timing_class,selected_candidate_id,selected_candidate,fit_trust_class,independent_trust_class,full_model_ready_status,reason,selected_preprocessing_mode,selected_init_pole_spacing,selected_passivity_enforced,selected_spice_file,selected_model_copy,selected_model_order,selected_fit_complex_rms,selected_rx_fit_complex_rms,selected_reflection_fit_complex_rms,selected_max_sv_high,math_fail_reasons,math_warn_reasons,independent_score,ngspice_smoke_cases,ngspice_smoke_fail_reasons,ngspice_smoke_warn_reasons
ntwk2_e1c16499,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000005841938,5700000000.0,False,vector_3r3c,RX_WARN_VOLTAGE_MARGIN,WARN,PASS,raw_vector_5r5c_lin,vector_5r5c,WARN,WARN,WARN,selected_by_vector_fit_independent_score,raw,lin,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/models/raw_vector_5r5c_lin/ntwk2_e1c16499_raw_vector_5r5c_lin.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/ntwk2_e1c16499.sp,15,3.1307336447400265e-10,3.834160392520054e-10,2.1732837164001183e-10,1.0000000001430758,,passivity_margin_low,0.002500000562398176,12,,rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
ntwk3_ad74ab42,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,0.999708035011139,1000000000.0,True,,FAIL,FAIL,FAIL,raw_vector_5r5c_log,vector_5r5c,PASS,FAIL,FAIL,selected_by_vector_fit_independent_score,raw,log,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/models/raw_vector_5r5c_log/ntwk3_ad74ab42_raw_vector_5r5c_log.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/ntwk3_ad74ab42.sp,15,5.368820411137908e-10,5.119827159684897e-10,5.52768065876705e-10,0.9999999998769926,,,0.00250000093760051,12,rx_overshoot;rx_undershoot,rx_edge_ringing_threshold_ambiguous;rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
ntwk4_806cfc7d,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,2,301,70000000000.0,85000000000.0,400000000000.0,0.9075975599388516,70350000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk4_n_6d3c414e,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,2,301,70000000000.0,85000000000.0,400000000000.0,0.9075975599388516,70350000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk_arbitrary_frequency_3e8760a8,skrf_tests,skrf_tests,holdout,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,2,4,1.0,20.0,400000000000.0,0.9999999997735052,1.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk_noise_65eeb4e4,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,2,11,1000000000.0,2000000000.0,400000000000.0,10.0,1000000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk_noise_interp_a132609e,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,2,13,100000000.0,10000000000.0,400000000000.0,10.0,100000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk1_e20029da,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000007608698,9000000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk2_24638a5f,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000005841938,5700000000.0,False,vector_3r3c,RX_WARN_VOLTAGE_MARGIN,WARN,PASS,raw_vector_5r5c_lin,vector_5r5c,WARN,WARN,WARN,selected_by_vector_fit_independent_score,raw,lin,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/models/raw_vector_5r5c_lin/ntwk2_24638a5f_raw_vector_5r5c_lin.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/ntwk2_24638a5f.sp,15,3.1307336447400265e-10,3.834160392520054e-10,2.1732837164001183e-10,1.0000000001430758,,passivity_margin_low,0.002500000562398176,12,,rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
ntwk3_8f8a2430,skrf_tests,skrf_tests,holdout,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,0.999708035011139,1000000000.0,True,,FAIL,FAIL,FAIL,raw_vector_5r5c_log,vector_5r5c,PASS,FAIL,FAIL,selected_by_vector_fit_independent_score,raw,log,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_8f8a2430/models/raw_vector_5r5c_log/ntwk3_8f8a2430_raw_vector_5r5c_log.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/ntwk3_8f8a2430.sp,15,5.368820411137908e-10,5.119827159684897e-10,5.52768065876705e-10,0.9999999998769926,,,0.00250000093760051,12,rx_overshoot;rx_undershoot,rx_edge_ringing_threshold_ambiguous;rx_overshoot_margin;rx_undershoot_margin;threshold_delay_confidence_low;tx_edge_ringing_threshold_ambiguous;voltage_shape_ok_threshold_delay_low
RS_ZNB8_23e14c3f,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,4,1001,40000000.0,60000000.0,400000000000.0,0.9866017223194978,40520000.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
RS_ZVR_1.20_beta_f_6cd9e598,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,2,1,1000.0,1000.0,400000000000.0,1.5321003374277322,1000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
thru_a0b4754f,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/thru.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/thru.s2p,2,4,1000000000.0,100000000000.0,400000000000.0,1.0,1000000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Clarity_example_Fitted_55b55a71,repo_local,repo_local,calibration,hspice/sparam/BBSResult_Clarity_example/Clarity_example_Fitted.s2p,hspice/sparam/BBSResult_Clarity_example/Clarity_example_Fitted.s2p,2,40,50000000.0,2000000000.0,400000000000.0,0.9979297150095449,50000000.0,True,,,,,raw_auto_fit_default,auto_fit_default,PASS,WARN,WARN,selected_by_vector_fit_independent_score,raw,,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/Clarity_example_Fitted_55b55a71/models/raw_auto_fit_default/Clarity_example_Fitted_55b55a71_raw_auto_fit_default.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/Clarity_example_Fitted_55b55a71.sp,7,0.0003830596531707314,0.0003187471035932317,0.0004414843338468718,0.9980451389660673,,,0.0023574167243700928,12,,rx_overshoot_margin
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6203501152758982,45563387500.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_f3_81049e25,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f3.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6199820808783555,45563387500.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_f4_fc94db99,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f4.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6213284094841652,45563387500.0,True,reduced_4p_rx_dominant_delay_rc,RX_VOLTAGE_OK_TIMING_AMBIGUOUS,PASS,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_f5_3a904f20,repo_local,cisco,holdout,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6208303208282462,45563387500.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_n1_8e377765,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n1.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6022031833020703,45547765625.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_n2_b3e24295,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n2.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6286383607702243,45547765625.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_n3_a9ef8f2b,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6008022618005516,45547765625.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch10_35_5F3N_t_d3c7dddc,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.9876758453841427,10000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_f1_8f9c2982,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6048283591437132,48359703125.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_f2_47dc69c2,repo_local,cisco,holdout,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6209019704763541,45985178125.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_f3_ab427591,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f3.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6057306914099176,44985378125.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_f4_dfb4f0b9,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f4.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.5931244036283684,49406368750.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_f5_30ca600f,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f5.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6001918992882506,49328259375.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_n1_9a8781a5,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n1.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6022031833020703,45547765625.0,True,reduced_4p_rx_dominant_delay_rc,WARN,WARN,WARN,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Ch1_10_5F3N_n2_a8ccad10,repo_local,cisco,holdout,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n2.s4p,4,3201,10000000.0,50000000000.0,400000000000.0,0.6286383607702243,45547765625.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
