channel_id,candidate_id,case,edge_ps,side,signal,hspice_audit_class,rx_shape_hspice_audit_class,rx_timing_hspice_audit_class,reflection_hspice_audit_class,active_rmse_v,active_maxabs_v,plot
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,rx,v(p2),WARN,PASS,WARN,PASS,0.002785349301911984,0.05202966457478064,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0019964388871247496,0.010903660030458805,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_tx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0007354725125148775,0.007229954802176919,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0018300212671318367,0.0020728309627805475,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge500_r50_tx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0006290716667706645,0.0008871362599679466,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge500_r50_rx.png
ntwk3_ad74ab42,raw_auto_fit_high_order_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,tx,v(p1),WARN,PASS,WARN,PASS,0.0004131693067637842,0.004024671566527749,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk3_ad74ab42_raw_auto_fit_high_order_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_tx.png
ntwk3_ad74ab42,raw_auto_fit_high_order_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,rx,v(p2),WARN,PASS,WARN,PASS,0.0020656137782337053,0.019332108356578392,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk3_ad74ab42_raw_auto_fit_high_order_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_rx.png
ntwk3_ad74ab42,raw_auto_fit_high_order_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,tx,v(p1),PASS,PASS,PASS,PASS,0.00018026270101301976,0.0017061946402709277,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk3_ad74ab42_raw_auto_fit_high_order_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_tx.png
ntwk3_ad74ab42,raw_auto_fit_high_order_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0007637451281774009,0.007379814204474866,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk3_ad74ab42_raw_auto_fit_high_order_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_rx.png
ntwk3_ad74ab42,raw_auto_fit_high_order_enforced_s200_original_pdc1,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,3.379243517663624e-05,0.0002053206307986999,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk3_ad74ab42_raw_auto_fit_high_order_enforced_s200_original_pdc1_audit_amp1p5_edge500_r50_tx.png
