case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,12,11->01,82.10000000000001,2971.0044063124487,294.8518142733715
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,13,10->10,84.10000000000001,183.33446322278712,-1500.9805363216894
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,14,01->00,86.1,946.316368137283,288.2730892751749
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,15,00->11,90.10000000000001,2171.040415291664,437.477736055037
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,16,11->00,94.10000000000001,2979.8407616672657,306.3150110312218
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,17,00->10,100.10000000000001,2167.7458609202754,412.25387937217073
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,18,01->01,102.1,944.5091159184889,307.87235928796775
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,19,10->10,104.1,186.37566752040397,-1527.838996119104
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,20,01->01,106.1,982.452173024638,336.5472994972938
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,21,10->11,108.10000000000001,197.84242794842342,-1601.016154152817
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,22,11->00,112.1,2982.437725963633,336.6885282402571
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,23,00->10,122.1,2182.6526816403098,425.60872649675827
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,24,01->01,124.09999999999998,945.7402768578247,293.7573725408475
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,25,10->11,126.1,182.59630361966072,-1520.218971541364
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,26,11->00,134.1,2973.26360296322,296.49141105045067
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,27,00->11,140.1,2168.7710199039648,415.39621740540673
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,28,11->01,146.1,2968.0198927808196,295.74896869822254
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,29,10->11,148.10000000000002,183.7878735263562,-1499.2056415866493
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,30,11->01,152.1,2980.165812581451,322.834018866973
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,31,10->11,154.10000000000002,191.24776531973262,-1544.1374582501956
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,0,11->01,26.100428860056045,2426.984271940299,422.4209442020592
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,1,10->11,28.100441963679053,3592.646744302734,1017.1113336060579
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,2,11->00,38.10042748262795,2423.736896532359,423.3733748898338
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,3,00->11,42.100445126642875,3691.9556451731837,891.6590458621815
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,4,11->01,50.10042901584476,2421.9083767145653,429.6478144804201
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,5,10->10,52.10044272162747,3592.559170411613,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,6,01->01,54.10043015820457,2306.0268656478356,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,7,10->11,56.10044250901043,3632.913888208614,1026.9560391701311
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,8,11->00,62.100428134948295,2418.8259350345656,447.65130280902076
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,9,00->11,70.10044465534288,3701.709827519603,929.8624034776972
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,10,11->01,74.1004320111199,2409.288124553539,450.3465438467998
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,11,10->11,76.10044126867712,3600.255120187137,1031.8242499732423
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,12,11->01,82.10043244572526,2418.3916511385833,437.1743771028815
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,13,10->10,84.10044201434654,3595.450163201151,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,14,01->00,86.10044246994535,2302.33072046257,nan
