hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
WARN,Ch1_10_5F3N_f4_dfb4f0b9,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f4_dfb4f0b9/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f5_30ca600f,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f5_30ca600f/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f5_30ca600f,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f5_30ca600f/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f5_30ca600f,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f5_30ca600f/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f1_3378b0a3,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f1_3378b0a3/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f1_3378b0a3,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f1_3378b0a3/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f1_3378b0a3,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f1_3378b0a3/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f2_d795f530,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f2_d795f530/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f2_d795f530,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f2_d795f530/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f2_d795f530,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f2_d795f530/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f4_5d940b85,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f4_5d940b85/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f4_5d940b85,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f4_5d940b85/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch2_12_5F3N_f4_5d940b85,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch2_12_5F3N_f4_5d940b85/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f3_c08ef229,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f3_c08ef229/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f3_c08ef229,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f3_c08ef229/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f3_c08ef229,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f3_c08ef229/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f4_efc6aab7,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f4_efc6aab7/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f4_efc6aab7,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f4_efc6aab7/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch3_17_5F3N_f4_efc6aab7,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch3_17_5F3N_f4_efc6aab7/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
