case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui5_len10cm_loss1,fall,80,11->00,870.1004259019967,954.9544725950874,167.6447602875199
ui5_len10cm_loss1,rise,81,00->10,885.100447580908,2279.5498207992746,932.9919104541086
ui5_len10cm_loss1,fall,82,01->01,890.1004258973278,952.8485999839561,168.1171204603467
ui5_len10cm_loss1,rise,83,10->10,895.1004479836911,2280.0400035104,932.1145940447345
ui5_len10cm_loss1,fall,84,01->01,900.1004258919879,952.8069455727168,168.16215741846327
ui5_len10cm_loss1,rise,85,10->11,905.1004479828292,2280.0855160031892,932.1134488331081
ui5_len10cm_loss1,fall,86,11->00,915.1004259024421,954.9527787140579,167.6847448338665
ui5_len10cm_loss1,rise,87,00->10,940.1004475825747,2279.5326315807347,932.979591638593
ui5_len10cm_loss1,fall,88,01->01,945.1004258972907,952.8456526961819,168.118418146268
ui5_len10cm_loss1,rise,89,10->11,950.100447983187,2280.043582303482,932.1230820954069
ui5_len10cm_loss1,fall,90,11->00,970.1004259018146,954.9735692342041,167.6301781548646
ui5_len10cm_loss1,rise,91,00->11,985.1004475717696,2279.5509548241366,932.9913552985506
ui2_len10cm_loss1,fall,0,11->01,26.100425904167054,956.2479048912944,169.96136196928126
ui2_len10cm_loss1,rise,1,10->11,28.100445194865934,2256.033438202782,1025.3809183681294
ui2_len10cm_loss1,fall,2,11->00,38.10042590429735,956.2467212584587,169.96095058082057
ui2_len10cm_loss1,rise,3,00->11,42.100448326798855,2273.987903999397,934.722559703409
ui2_len10cm_loss1,fall,4,11->01,50.10042591277587,956.2135370180717,169.99287870017227
ui2_len10cm_loss1,rise,5,10->10,52.10044519938093,2256.0725577843714,nan
ui2_len10cm_loss1,fall,6,01->01,54.100424643235485,883.5936352538746,nan
ui2_len10cm_loss1,rise,7,10->11,56.100445689986934,2252.392460994583,1009.9714584087529
ui2_len10cm_loss1,fall,8,11->00,62.100425922517985,955.7253458049665,170.1127555814901
ui2_len10cm_loss1,rise,9,00->11,70.10044765181826,2273.9246965629177,933.6240313705133
ui2_len10cm_loss1,fall,10,11->01,74.10042583301981,949.3337743417123,171.92267863102302
